id,nombre
1,analsis y diseno algoritmos 
2,administracion base datos 
3,algebra lineal 
4,algortimos y estructuras datos 
5,analisis y diseno sistemas 
6,arquitectura y servicios distribuidos 
7,base datos 
8,calculo varias variables 
9,calculo variable 
10,computacion paralela y distribuida 
11,computacion sociedad 
12,comunicacion y lenguaje 
13,control y auditoria tecnologias informacion 
14,desarrollo basado plataformas 
15,desarrollo sistemas informacion 
16,desarrollo integracion curricular 
17,emprendimiento e innovacion 
18,estadistica 
19,estrategia gestion y adquisicion sistemas informacion 
20,formulacion de integracion curricular 
21,fundamentos sistemas informacion 
22,gestion procesos negocios y sistemas empresariales 
23,gestion proyectos sistemas informacion 
24,fundamentos ingenieria software 
25,gestion riesgo y seguridad tecnologias informacion 
26,infraestructura tecnologias informacion 
27,ingenieria software 
28,inteligencia artificial 
29,inteligencia negocios 
30,interfaces usuario aplicaiones negocio 
31,introduccion a investigacion cientifica 
32,introduccion a programacion 
33,matematicas dicretas 
34,mineria datos 
35,nuevas tecnologias e innovacion sistemas informacion 
36,objetos y abstraccion datos 
37,programacion orientada a objetos 
38,programacion avanzada 
39,realidad socio economica cultural y ecologica ecuador 
40,redes y comunicacion 
41,sistemas informacion gerencial 
42,sistemas operatos 
43,redes y comunicacion 
44,sistemas informacion gerencial 
45,sistemas operatos 
